:ID(MaintenanceEvent),component_id,system_id,aircraft_id,fault,severity,reported_at,corrective_action
ME0001,AC1002-S04-C02,AC1002-S04,AC1002,Contamination,CRITICAL,2024-08-27T12:00:00,Adjusted tolerance
ME0002,AC1017-S01-C03,AC1017-S01,AC1017,Sensor drift,MINOR,2024-07-21T11:00:00,Replaced component
ME0003,AC1003-S03-C01,AC1003-S03,AC1003,Leak,MAJOR,2024-08-24T13:00:00,Replaced component
ME0004,AC1009-S04-C02,AC1009-S04,AC1009,Fuel starvation,CRITICAL,2024-07-30T06:00:00,Inspected and found no fault
ME0005,AC1008-S03-C01,AC1008-S03,AC1008,Bearing wear,MINOR,2024-09-08T15:00:00,Replaced component
ME0006,AC1004-S04-C02,AC1004-S04,AC1004,Overheat,MAJOR,2024-08-19T06:00:00,Replaced component
ME0007,AC1005-S02-C05,AC1005-S02,AC1005,Fuel starvation,MAJOR,2024-08-25T23:00:00,Replaced component
ME0008,AC1020-S01-C05,AC1020-S01,AC1020,Leak,MAJOR,2024-07-17T05:00:00,Software patch applied
ME0009,AC1008-S01-C02,AC1008-S01,AC1008,Bearing wear,MINOR,2024-08-18T10:00:00,Inspected and found no fault
ME0010,AC1014-S03-C03,AC1014-S03,AC1014,Vibration exceedance,MAJOR,2024-09-11T05:00:00,Adjusted tolerance
ME0011,AC1005-S01-C01,AC1005-S01,AC1005,Electrical fault,CRITICAL,2024-09-18T09:00:00,Inspected and found no fault
ME0012,AC1009-S02-C03,AC1009-S02,AC1009,Vibration exceedance,MAJOR,2024-08-09T17:00:00,Cleaned and reassembled
ME0013,AC1002-S02-C02,AC1002-S02,AC1002,Sensor drift,MAJOR,2024-07-29T19:00:00,Software patch applied
ME0014,AC1009-S04-C01,AC1009-S04,AC1009,Sensor drift,CRITICAL,2024-07-08T01:00:00,Software patch applied
ME0015,AC1016-S02-C03,AC1016-S02,AC1016,Overheat,MAJOR,2024-09-21T00:00:00,Software patch applied
ME0016,AC1016-S02-C01,AC1016-S02,AC1016,Electrical fault,MINOR,2024-07-29T23:00:00,Software patch applied
ME0017,AC1015-S01-C03,AC1015-S01,AC1015,Leak,MINOR,2024-08-29T04:00:00,Adjusted tolerance
ME0018,AC1010-S01-C01,AC1010-S01,AC1010,Electrical fault,MAJOR,2024-09-17T06:00:00,Software patch applied
ME0019,AC1008-S01-C05,AC1008-S01,AC1008,Bearing wear,CRITICAL,2024-08-03T06:00:00,Software patch applied
ME0020,AC1002-S02-C03,AC1002-S02,AC1002,Bearing wear,MINOR,2024-07-16T03:00:00,Inspected and found no fault
ME0021,AC1017-S01-C05,AC1017-S01,AC1017,Leak,MAJOR,2024-08-04T17:00:00,Inspected and found no fault
ME0022,AC1001-S01-C04,AC1001-S01,AC1001,Contamination,MAJOR,2024-08-18T19:00:00,Replaced component
ME0023,AC1001-S02-C05,AC1001-S02,AC1001,Bearing wear,CRITICAL,2024-07-19T02:00:00,Cleaned and reassembled
ME0024,AC1004-S02-C05,AC1004-S02,AC1004,Contamination,MAJOR,2024-08-10T20:00:00,Adjusted tolerance
ME0025,AC1020-S02-C03,AC1020-S02,AC1020,Leak,CRITICAL,2024-07-12T06:00:00,Inspected and found no fault
ME0026,AC1016-S03-C03,AC1016-S03,AC1016,Contamination,MAJOR,2024-07-12T18:00:00,Cleaned and reassembled
ME0027,AC1007-S01-C05,AC1007-S01,AC1007,Electrical fault,MINOR,2024-09-04T00:00:00,Replaced component
ME0028,AC1011-S04-C02,AC1011-S04,AC1011,Electrical fault,CRITICAL,2024-09-21T15:00:00,Inspected and found no fault
ME0029,AC1013-S04-C02,AC1013-S04,AC1013,Overheat,CRITICAL,2024-07-26T22:00:00,Replaced component
ME0030,AC1014-S02-C05,AC1014-S02,AC1014,Sensor drift,MAJOR,2024-07-21T15:00:00,Replaced component
ME0031,AC1003-S02-C02,AC1003-S02,AC1003,Contamination,CRITICAL,2024-08-02T16:00:00,Cleaned and reassembled
ME0032,AC1016-S04-C03,AC1016-S04,AC1016,Leak,MAJOR,2024-09-25T16:00:00,Adjusted tolerance
ME0033,AC1009-S02-C01,AC1009-S02,AC1009,Bearing wear,CRITICAL,2024-08-05T21:00:00,Software patch applied
ME0034,AC1005-S02-C05,AC1005-S02,AC1005,Contamination,CRITICAL,2024-09-19T13:00:00,Inspected and found no fault
ME0035,AC1008-S01-C02,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-28T01:00:00,Replaced component
ME0036,AC1010-S04-C01,AC1010-S04,AC1010,Leak,CRITICAL,2024-07-07T14:00:00,Adjusted tolerance
ME0037,AC1010-S03-C01,AC1010-S03,AC1010,Fuel starvation,CRITICAL,2024-08-30T00:00:00,Cleaned and reassembled
ME0038,AC1001-S02-C05,AC1001-S02,AC1001,Electrical fault,MINOR,2024-08-15T07:00:00,Software patch applied
ME0039,AC1006-S01-C04,AC1006-S01,AC1006,Vibration exceedance,MINOR,2024-07-17T12:00:00,Replaced component
