:START_ID(Flight),:END_ID(Airport),:TYPE
FL00001,SEA,ARRIVES_AT
FL00002,SFO,ARRIVES_AT
FL00003,LAX,ARRIVES_AT
FL00004,LAX,ARRIVES_AT
FL00005,SFO,ARRIVES_AT
FL00006,MSP,ARRIVES_AT
FL00007,PHX,ARRIVES_AT
FL00008,ATL,ARRIVES_AT
FL00009,SFO,ARRIVES_AT
FL00010,SEA,ARRIVES_AT
FL00011,MIA,ARRIVES_AT
FL00012,MSP,ARRIVES_AT
FL00013,PHX,ARRIVES_AT
FL00014,DFW,ARRIVES_AT
FL00015,DFW,ARRIVES_AT
FL00016,DFW,ARRIVES_AT
FL00017,PHX,ARRIVES_AT
FL00018,DEN,ARRIVES_AT
FL00019,DFW,ARRIVES_AT
FL00020,PHX,ARRIVES_AT
FL00021,MIA,ARRIVES_AT
FL00022,MSP,ARRIVES_AT
FL00023,PHX,ARRIVES_AT
FL00024,PHX,ARRIVES_AT
FL00025,LAX,ARRIVES_AT
FL00026,DFW,ARRIVES_AT
FL00027,JFK,ARRIVES_AT
FL00028,SEA,ARRIVES_AT
FL00029,SEA,ARRIVES_AT
FL00030,PHX,ARRIVES_AT
FL00031,SEA,ARRIVES_AT
FL00032,PHX,ARRIVES_AT
FL00033,PHX,ARRIVES_AT
FL00034,PHX,ARRIVES_AT
FL00035,MSP,ARRIVES_AT
FL00036,BOS,ARRIVES_AT
FL00037,MSP,ARRIVES_AT
FL00038,LAX,ARRIVES_AT
FL00039,LAX,ARRIVES_AT
FL00040,PHX,ARRIVES_AT
FL00041,DFW,ARRIVES_AT
FL00042,MIA,ARRIVES_AT
FL00043,DEN,ARRIVES_AT
FL00044,SFO,ARRIVES_AT
FL00045,SFO,ARRIVES_AT
FL00046,DFW,ARRIVES_AT
FL00047,ORD,ARRIVES_AT
FL00048,DEN,ARRIVES_AT
FL00049,LAX,ARRIVES_AT
FL00050,JFK,ARRIVES_AT
FL00051,MIA,ARRIVES_AT
FL00052,MSP,ARRIVES_AT
FL00053,MIA,ARRIVES_AT
FL00054,PHX,ARRIVES_AT
FL00055,MSP,ARRIVES_AT
FL00056,JFK,ARRIVES_AT
FL00057,MIA,ARRIVES_AT
FL00058,DEN,ARRIVES_AT
FL00059,MSP,ARRIVES_AT
FL00060,PHX,ARRIVES_AT
FL00061,PHX,ARRIVES_AT
FL00062,MIA,ARRIVES_AT
FL00063,MSP,ARRIVES_AT
FL00064,PHX,ARRIVES_AT
FL00065,ORD,ARRIVES_AT
FL00066,JFK,ARRIVES_AT
FL00067,DEN,ARRIVES_AT
FL00068,PHX,ARRIVES_AT
FL00069,MSP,ARRIVES_AT
FL00070,SEA,ARRIVES_AT
FL00071,PHX,ARRIVES_AT
FL00072,LAX,ARRIVES_AT
FL00073,SEA,ARRIVES_AT
FL00074,JFK,ARRIVES_AT
FL00075,PHX,ARRIVES_AT
FL00076,BOS,ARRIVES_AT
FL00077,ATL,ARRIVES_AT
FL00078,MSP,ARRIVES_AT
FL00079,SEA,ARRIVES_AT
FL00080,ATL,ARRIVES_AT
FL00081,DFW,ARRIVES_AT
FL00082,SEA,ARRIVES_AT
FL00083,JFK,ARRIVES_AT
FL00084,JFK,ARRIVES_AT
FL00085,PHX,ARRIVES_AT
FL00086,SEA,ARRIVES_AT
FL00087,PHX,ARRIVES_AT
FL00088,SFO,ARRIVES_AT
FL00089,SEA,ARRIVES_AT
FL00090,MIA,ARRIVES_AT
FL00091,PHX,ARRIVES_AT
FL00092,DFW,ARRIVES_AT
FL00093,BOS,ARRIVES_AT
FL00094,MSP,ARRIVES_AT
FL00095,PHX,ARRIVES_AT
FL00096,SFO,ARRIVES_AT
FL00097,DEN,ARRIVES_AT
FL00098,PHX,ARRIVES_AT
FL00099,DFW,ARRIVES_AT
FL00100,DEN,ARRIVES_AT
FL00101,PHX,ARRIVES_AT
FL00102,JFK,ARRIVES_AT
FL00103,DFW,ARRIVES_AT
FL00104,SEA,ARRIVES_AT
FL00105,ATL,ARRIVES_AT
FL00106,MIA,ARRIVES_AT
FL00107,MIA,ARRIVES_AT
FL00108,JFK,ARRIVES_AT
FL00109,JFK,ARRIVES_AT
FL00110,SEA,ARRIVES_AT
FL00111,ORD,ARRIVES_AT
FL00112,BOS,ARRIVES_AT
FL00113,DEN,ARRIVES_AT
FL00114,DFW,ARRIVES_AT
FL00115,JFK,ARRIVES_AT
FL00116,ORD,ARRIVES_AT
FL00117,DFW,ARRIVES_AT
FL00118,SEA,ARRIVES_AT
FL00119,DFW,ARRIVES_AT
FL00120,ATL,ARRIVES_AT
FL00121,ATL,ARRIVES_AT
FL00122,ATL,ARRIVES_AT
FL00123,PHX,ARRIVES_AT
FL00124,MIA,ARRIVES_AT
FL00125,MIA,ARRIVES_AT
FL00126,SEA,ARRIVES_AT
FL00127,MSP,ARRIVES_AT
FL00128,JFK,ARRIVES_AT
FL00129,ORD,ARRIVES_AT
FL00130,ATL,ARRIVES_AT
FL00131,MSP,ARRIVES_AT
FL00132,ATL,ARRIVES_AT
FL00133,JFK,ARRIVES_AT
FL00134,LAX,ARRIVES_AT
FL00135,SEA,ARRIVES_AT
FL00136,MSP,ARRIVES_AT
FL00137,ATL,ARRIVES_AT
FL00138,DFW,ARRIVES_AT
FL00139,ORD,ARRIVES_AT
FL00140,ATL,ARRIVES_AT
FL00141,PHX,ARRIVES_AT
FL00142,ORD,ARRIVES_AT
FL00143,JFK,ARRIVES_AT
FL00144,JFK,ARRIVES_AT
FL00145,PHX,ARRIVES_AT
FL00146,BOS,ARRIVES_AT
FL00147,PHX,ARRIVES_AT
FL00148,LAX,ARRIVES_AT
FL00149,SFO,ARRIVES_AT
FL00150,DEN,ARRIVES_AT
FL00151,PHX,ARRIVES_AT
FL00152,MIA,ARRIVES_AT
FL00153,SEA,ARRIVES_AT
FL00154,DFW,ARRIVES_AT
FL00155,JFK,ARRIVES_AT
